"18-06-2015";"Prime";"617116";"2";"WA";"Application";"Application";"White";"1920000"
"18-06-2015";"Prime";"617119";"1";"VIC";"Application";"Application";"White";"670500"
"18-06-2015";"Prime";"617126";"1";"WA";"Application";"Application";"Pepper";"400000"
"18-06-2015";"Prime";"617128";"1";"NSW";"Application";"Application";"Pepper";"550000"
"18-06-2015";"Specialist";"617095";"1";"VIC";"Application";"Application";"Pepper";"147000"
"18-06-2015";"Specialist";"617110";"1";"TAS";"Application";"Application";"Direct";"144500"
"18-06-2015";"Specialist";"617117";"1";"WA";"Application";"Application";"White";"372000"
"18-06-2015";"Specialist";"617118";"1";"NSW";"Application";"Application";"Pepper";"250000"
"18-06-2015";"Specialist";"617121";"1";"VIC";"Application";"Application";"Pepper";"255300"
"18-06-2015";"Specialist";"617127";"1";"WA";"Application";"Application";"White";"395250"
"19-06-2015";"Near Prime";"617134";"1";"VIC";"Application";"Application";"Pepper";"552500"
"19-06-2015";"Near Prime";"617142";"1";"NSW";"Application";"Application";"Pepper";"700000"
"19-06-2015";"Near Prime";"617144";"2";"WA";"Application";"Application";"White";"540000"
"19-06-2015";"Near Prime";"617146";"1";"VIC";"Application";"Application";"White";"200000"
"19-06-2015";"Near Prime";"617147";"3";"SA";"Application";"Application";"Pepper";"535000"
"19-06-2015";"Near Prime";"617148";"1";"WA";"Application";"Application";"White";"100000"
"19-06-2015";"Near Prime";"617156";"1";"VIC";"Application";"Application";"Pepper";"165000"
"19-06-2015";"Prime";"617135";"1";"VIC";"Application";"Application";"White";"570350"
"19-06-2015";"Prime";"617136";"1";"VIC";"Application";"Application";"Direct";"493000"
"19-06-2015";"Prime";"617137";"1";"NSW";"Application";"Application";"Pepper";"825000"
"19-06-2015";"Prime";"617149";"1";"SA";"Application";"Application";"White";"340000"
"19-06-2015";"Prime";"617153";"1";"VIC";"Application";"Application";"White";"198000"
"19-06-2015";"Prime";"617158";"1";"NSW";"Application";"Application";"Pepper";"701146"
"19-06-2015";"Specialist";"617138";"1";"VIC";"Application";"Application";"Pepper";"500000"
"19-06-2015";"Specialist";"617139";"1";"NSW";"Application";"Application";"Pepper";"415000"
"19-06-2015";"Specialist";"617141";"1";"SA";"Application";"Application";"Pepper";"175000"
"19-06-2015";"Specialist";"617143";"1";"NSW";"Application";"Application";"Pepper";"424000"
"19-06-2015";"Specialist";"617145";"1";"WA";"Application";"Application";"Pepper";"200000"
"19-06-2015";"Specialist";"617150";"1";"VIC";"Application";"Application";"Pepper";"150000"
"19-06-2015";"Specialist";"617152";"1";"QLD";"Application";"Application";"White";"415000"
"19-06-2015";"Specialist";"617159";"1";"NSW";"Application";"Application";"Pepper";"1320000"
"20-06-2015";"Prime";"617167";"1";"VIC";"Application";"Application";"Pepper";"576000"
"20-06-2015";"Prime";"617168";"1";"ACT";"Application";"Application";"Pepper";"331200"
"21-06-2015";"Near Prime";"617181";"1";"VIC";"Application";"Application";"Pepper";"555000"
"21-06-2015";"Near Prime";"617186";"1";"WA";"Application";"Application";"Pepper";"290000"
"22-06-2015";"Near Prime";"617189";"1";"WA";"Application";"Application";"White";"684383"
"22-06-2015";"Near Prime";"617192";"1";"VIC";"Application";"Application";"Pepper";"360000"
